id,dni,nombre,apellido,telefono,email,direccion_calle,direccion_numero
1,23076040796,Halvard,Høines,77255709,halvard.hoines@example.com,Risstubben,9877
2,,درسا,احمدی,087-09540967,drs.hmdy@example.com,میدان آزادی,5427
3,16067203112,Adam,Gill,31768131,adam.gill@example.com,Pasoplia,7558
4,290446-0241,Elias,Mortensen,77228045,elias.mortensen@example.com,Banevej,3724
5,,Finn,Wang,(221)-320-2979,finn.wang@example.com,Ferguson Street,9418
6,482425070368,Ishaan,Bhardwaj,7526670623,ishaan.bhardwaj@example.com,Jagadamba Centre,3378
7,,علی,محمدخان,018-15385614,aaly.mhmdkhn@example.com,جمهوری,940
8,51 99 99 9309 3,Daniel,Guevara,(676) 755 9825,daniel.guevara@example.com,Circunvalación Morelos,2791
9,09059946754,Sindre,Fossnes,37945825,sindre.fossnes@example.com,Grimelundsveien,379
10,,Melike,Ilıcalı,(030)-377-8334,melike.ilicali@example.com,Doktorlar Cd,2050
